unit_id,est_valuation_to_buyer,est_valuation_to_seller,est_renovation_cost,living_room_solar_direction,living_room_view_score,bedroom_view_score
273603,1930000.0,1296363.0,208421.0,SouthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273608,1845000.0,1263035.0,208421.0,"","",""
273609,0.0,0.0,0.0,"","",""
273612,1970000.0,1373401.0,208421.0,NorthWest,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
273623,1930000.0,1331010.0,208421.0,South,"5 - Grande respiro, com verde ou copa de árvores","6 - Vista alta e distante, predominantemente urbana"
273635,1440000.0,938312.0,210000.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273639,0.0,0.0,0.0,NorthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273644,1455000.0,956612.0,210000.0,NorthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273652,0.0,0.0,0.0,NorthWest,3 - Híbrida entre 2 e 4,"5 - Grande respiro, com verde ou copa de árvores"
273678,2290000.0,1324417.0,377360.0,South,"5 - Grande respiro, com verde ou copa de árvores","2 - Emparedada para área social, apenas parede ou serviço se for bem conservado e limpo visualmente"
273700,0.0,0.0,0.0,South,"4 - Com respiro, porém com vista predominantemente urbana","5 - Grande respiro, com verde ou copa de árvores"
273703,2610000.0,1654720.0,371272.0,SouthEast,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273704,0.0,0.0,0.0,"","",""
273709,2955000.0,1779044.0,414960.0,"","",""
273712,3230000.0,2045803.0,414960.0,SouthWest,"4 - Com respiro, porém com vista predominantemente urbana",3 - Híbrida entre 2 e 4
273725,1300000.0,839509.0,192255.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273728,0.0,0.0,0.0,North,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273747,1310000.0,847461.0,192255.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","5 - Grande respiro, com verde ou copa de árvores"
273765,3095000.0,2132099.0,266236.0,"","",""
273772,3335000.0,2232210.0,374797.0,NorthWest,"5 - Grande respiro, com verde ou copa de árvores","4 - Com respiro, porém com vista predominantemente urbana"
273780,0.0,0.0,0.0,"","",""
273793,1460000.0,943221.0,231435.0,NorthEast,"4 - Com respiro, porém com vista predominantemente urbana","4 - Com respiro, porém com vista predominantemente urbana"
